id,comm_eff,psych_safety,stai6,trust_ai,time,group,role,trust_ai_pre
B41,3.0,3.3333333333333335,1.6666666666666667,,delay,B,在學中，且目前於企業實習(工讀),2.8
B43,3.8,3.8333333333333335,3.6666666666666665,,delay,B,在學中，且目前於企業實習(工讀),3.2
B44,3.4,4.0,4.0,,delay,B,在學中，且目前於企業實習(工讀),4.0
B45,4.0,4.0,3.6666666666666665,,delay,B,在學中，且目前於企業實習(工讀),2.8
B46,3.6,3.6666666666666665,3.6666666666666665,,delay,B,職場新鮮人（入職 1 年以內）,2.4
B47,4.0,4.333333333333333,4.0,,delay,B,在學中，且目前於企業實習(工讀),3.6
B48,2.4,3.0,4.333333333333333,,delay,B,職場新鮮人（入職 1 年以內）,2.8
B49,3.8,3.6666666666666665,3.0,,delay,B,在學中，且目前於企業實習(工讀),2.6
B50,3.4,3.8333333333333335,3.0,,delay,B,在學中，且目前於企業實習(工讀),3.0
B51,4.2,4.0,4.333333333333333,,delay,B,職場新鮮人（入職 1 年以內）,4.4
B52,3.4,3.5,4.0,,delay,B,在學中，且目前於企業實習(工讀),3.0
B53,3.0,3.0,3.0,,delay,B,在學中，且目前於企業實習(工讀),3.0
B54,3.8,4.5,3.6666666666666665,,delay,B,在學中，且目前於企業實習(工讀),3.8
B55,2.4,2.0,4.0,,delay,B,在學中，且目前於企業實習(工讀),3.4
B56,3.6,3.5,3.0,,delay,B,職場新鮮人（入職 1 年以內）,3.0
B58,3.0,3.0,2.3333333333333335,,delay,B,在學中，且目前於企業實習(工讀),3.4
